"lCI","est","uCI","SE","vars","trackid","tracknll","model","dataset"
-7.47245942211358,-6.81394128209965,-6.15542314208573,0.335978642864249,"loglambda",1,54.84799027808,"iso(HF)","SimHerd1"
-1.2553927828997,-1.12060079193563,-0.98580880097157,0.0687714239612565,"HF",1,54.84799027808,"iso(HF)","SimHerd1"
-8.36213812645447,-7.56087993780409,-6.75962174915371,0.408805198291009,"loglambda",2,68.2096571265763,"iso(HF)","SimHerd1"
-1.44859257102522,-1.26239797995674,-1.07620338888827,0.0949972403410586,"HF",2,68.2096571265763,"iso(HF)","SimHerd1"
-7.98601561890016,-7.14963116711721,-6.31324671533426,0.426726761113751,"loglambda",3,59.5363260795025,"iso(HF)","SimHerd1"
-1.4933559565765,-1.25354432852669,-1.01373270047688,0.122352871453985,"HF",3,59.5363260795025,"iso(HF)","SimHerd1"
-8.7328717524159,-8.01974463848455,-7.30661752455321,0.363840364250686,"loglambda",5,89.1496587420397,"iso(HF)","SimHerd1"
-1.35205506894179,-1.28179393077153,-1.21153279260126,0.0358475194746254,"HF",5,89.1496587420397,"iso(HF)","SimHerd1"
-7.57983316348331,-6.87021013257969,-6.16058710167607,0.362052566787562,"loglambda",7,71.5985332531566,"iso(HF)","SimHerd1"
-0.965926620652095,-0.924013398501811,-0.882100176351527,0.021384297015451,"HF",7,71.5985332531566,"iso(HF)","SimHerd1"
-8.07613198318249,-7.58510520602614,-7.09407842886978,0.250523865896099,"loglambda",8,65.8680710976441,"iso(HF)","SimHerd1"
-1.38818925173859,-1.31856295547823,-1.24893665921787,0.0355236205409996,"HF",8,65.8680710976441,"iso(HF)","SimHerd1"
-8.1131742446851,-7.40865941332025,-6.70414458195539,0.359446342533089,"loglambda",9,70.9467460378976,"iso(HF)","SimHerd1"
-1.1733866221795,-1.01120770844887,-0.849028794718248,0.0827443437401144,"HF",9,70.9467460378976,"iso(HF)","SimHerd1"
-7.66811805930718,-6.94221090434007,-6.21630374937296,0.370360793350566,"loglambda",12,53.6186696219538,"iso(HF)","SimHerd1"
-1.24796042706794,-0.997523507668819,-0.747086588269703,0.127773938468937,"HF",12,53.6186696219538,"iso(HF)","SimHerd1"
-7.54637755722186,-6.79429440866529,-6.04221126010873,0.383715892120697,"loglambda",14,71.2738965982412,"iso(HF)","SimHerd1"
-0.960067140704563,-0.924008872403128,-0.887950604101693,0.0183970756639976,"HF",14,71.2738965982412,"iso(HF)","SimHerd1"
-8.9384865676158,-7.8166370475995,-6.6947875275832,0.572372204089951,"loglambda",15,66.5847571542251,"iso(HF)","SimHerd1"
-1.93318099706008,-1.18808984100099,-0.442998684941896,0.380148549009741,"HF",15,66.5847571542251,"iso(HF)","SimHerd1"
-7.73274579351833,-6.90955258561007,-6.08635937770181,0.41999653464707,"loglambda",16,69.4724067943241,"iso(HF)","SimHerd1"
-1.40212118678762,-1.20564287163506,-1.0091645564825,0.100244038343143,"HF",16,69.4724067943241,"iso(HF)","SimHerd1"
-8.31411518217394,-7.56872496866925,-6.82333475516455,0.380301129339128,"loglambda",17,73.1907825521085,"iso(HF)","SimHerd1"
-1.19106571031273,-0.968756717753698,-0.746447725194661,0.113422955387263,"HF",17,73.1907825521085,"iso(HF)","SimHerd1"
-7.65261118111396,-5.21041117058485,-2.76821116005574,1.24602041353526,"loglambda",18,77.8191542589187,"iso(HF)","SimHerd1"
-0.421494437492813,-0.128795305092353,0.163903827308106,0.149336292041051,"HF",18,77.8191542589187,"iso(HF)","SimHerd1"
-7.7467035179387,-7.05426268834706,-6.36182185875541,0.353286137546757,"loglambda",19,70.4140226475511,"iso(HF)","SimHerd1"
-0.945438620787376,-0.801071399029631,-0.656704177271886,0.0736567457947679,"HF",19,70.4140226475511,"iso(HF)","SimHerd1"
-7.78175647108728,-7.12189910877543,-6.46204174646358,0.336661919546863,"loglambda",20,73.1442876528592,"iso(HF)","SimHerd1"
-1.28982495465627,-1.21261970779907,-1.13541446094187,0.0393904320699987,"HF",20,73.1442876528592,"iso(HF)","SimHerd1"
